cityLabel,population,countryCode,country
South Dum Dum,403316,IN,http://www.wikidata.org/entity/Q668
Carapicuíba,403183,BR,http://www.wikidata.org/entity/Q155
Cuiabá,402813,BR,http://www.wikidata.org/entity/Q155
Qazvin,402748,IR,http://www.wikidata.org/entity/Q794
Brno,402739,CZ,http://www.wikidata.org/entity/Q213
Caruaru,402290,BR,http://www.wikidata.org/entity/Q155
Montes Claros,402027,BR,http://www.wikidata.org/entity/Q155
Jundiaí,401896,BR,http://www.wikidata.org/entity/Q155
Tarlac City,401892,PH,http://www.wikidata.org/entity/Q928
Aswan,401890,EG,http://www.wikidata.org/entity/Q79
Cuiabá,401303,BR,http://www.wikidata.org/entity/Q155
Lekki,401272,NG,http://www.wikidata.org/entity/Q1033
Bogura,400983,BD,http://www.wikidata.org/entity/Q902
Carapicuíba,400927,BR,http://www.wikidata.org/entity/Q155
Wah Cantonment,400733,PK,http://www.wikidata.org/entity/Q843
Manisa,400686,TR,http://www.wikidata.org/entity/Q43
Gifu,400118,JP,http://www.wikidata.org/entity/Q17
Douma,400000,SY,http://www.wikidata.org/entity/Q858
Montería,400000,CO,http://www.wikidata.org/entity/Q739
Toyonaka,399263,JP,http://www.wikidata.org/entity/Q17
Dera Ghazi Khan,399064,PK,http://www.wikidata.org/entity/Q843
Anápolis,398869,BR,http://www.wikidata.org/entity/Q155
Carapicuíba,398611,BR,http://www.wikidata.org/entity/Q155
Carapicuíba,398462,BR,http://www.wikidata.org/entity/Q155
Montes Claros,398288,BR,http://www.wikidata.org/entity/Q155
Carapicuíba,398236,BR,http://www.wikidata.org/entity/Q155
Kisumu,397957,KE,http://www.wikidata.org/entity/Q114
Kikwit,397737,CD,http://www.wikidata.org/entity/Q974
Wichita,397532,US,http://www.wikidata.org/entity/Q30
Miyazaki,397476,JP,http://www.wikidata.org/entity/Q17
